,Country,City,Latitude,Longtitude
0,Afghanistan,Kabul,34.5260131,69.17764759999999
1,Afghanistan,Herat,34.3508273,62.216400300000004
2,Afghanistan,Kandahar,31.6206429,65.7157231
3,Afghanistan,Balkh,36.7581256,66.8980826
4,Afghanistan,Nimruz,30.775381099999997,62.4793088
5,Afghanistan,Nangarhar,34.220389000000004,70.38003140000001
6,Afghanistan,Kunduz,36.870718700000005,68.75635279999999
7,Afghanistan,Helmand,31.0,64.0
8,Afghanistan,Kunar,34.95,71.133333
9,Afghanistan,Laghman,34.783333,70.18333299999999
10,Afghanistan,Paktia,33.705724,69.4083555
11,Afghanistan,Ghazni,33.3149631,67.828989
12,Afghanistan,Logar,34.0653595,69.160172
13,Afghanistan,Baghlan,35.75,69.0
14,Afghanistan,Jowzjan,36.9665706,65.9560232
15,Afghanistan,Kapisa,34.905556,69.741667
16,Afghanistan,Bamyan,34.75,67.25
17,Afghanistan,Daykundi,33.725113,66.2196554
18,Afghanistan,Farah,32.607110999999996,62.671011
19,Afghanistan,Samangan,36.0,67.666667
20,Afghanistan,Takhar,36.594073200000004,69.79389959999999
21,Afghanistan,Panjshir,35.4338536,69.79308990000001
22,Afghanistan,Zabul,32.306894199999995,67.12990400000001
23,Afghanistan,Wardak,34.3191345,68.3360426
24,Afghanistan,Faryab,35.9261784,64.62377579999999
25,Afghanistan,Ghor,34.1605257,64.9201949
26,Afghanistan,Badghis,35.0,63.75
27,Afghanistan,Parwan,34.979701399999996,68.9146703
28,Afghanistan,Paktika,32.393623100000006,68.70365140000001
29,Afghanistan,Badakhshan,36.80402539999999,71.36765799999999
30,Afghanistan,Oruzgan,32.812968100000006,66.0183185
31,Afghanistan,Sar-e Pol,35.5532126,66.24267660000001
32,Algeria,Blida Province,36.4701645,2.8287985
33,Algeria,Algiers Province,36.775360600000006,3.0601882000000002
34,Algeria,Oran Province,35.7032751,-0.6492975999999999
35,Algeria,Sétif Province,36.189275099999996,5.403493
36,Algeria,Tipaza Province,2.4482508999999997,36.5918179
37,Algeria,Aïn Defla Province,36.2656797,1.9701666000000002
38,Algeria,Béjaïa Province,36.7511783,5.0643687
39,Algeria,Constantine Province,36.364519,6.6082600000000005
40,Algeria,Tizi Ouzou Province,36.7137843,4.0493919
41,Algeria,Bordj Bou Arréridj Province,36.07411210000001,4.7613476
42,Algeria,Mostaganem Province,35.928808000000004,0.089978
43,Algeria,Tlemcen Province,34.881789000000005,-1.316699
44,Algeria,Chlef Province,36.164592,1.331499
45,Algeria,Djelfa Province,34.671359,3.254037
46,Algeria,Médéa Province,36.265344,2.766957
47,Algeria,Boumerdès Province,36.758882,3.470596
48,Algeria,Ouargla Province,31.944670000000002,5.320958
49,Algeria,Mascara Province,35.394081,0.1379568
50,Algeria,Tissemsilt Province,35.604813,1.8104759999999998
51,Algeria,Ghardaia Province,32.485855,3.677104
52,Algeria,Oum El Bouaghi Province,35.868775799999995,7.115064500000001
53,Algeria,Jijel Province,36.8167305,5.771494000000001
54,Algeria,Biskra Province,34.850850799999996,5.728687799999999
55,Algeria,El Oued Province,33.3611766,6.8603492
56,Algeria,Skikda Province,36.879882,6.907485
57,Algeria,Sidi Bel Abbès Province,35.1911682,-0.6347284000000001
58,Algeria,Tiaret Province,35.3661448,1.3194687
59,Algeria,Batna Province,35.554404,6.1767453
60,Algeria,Adrar Province,27.8733807,-0.2874884
61,Algeria,Annaba Province,36.8982165,7.7549272
62,Algeria,Aïn Témouchent Province,35.26665705,-1.1499276224075037
63,Algeria,Khenchela Province,7.145711,35.430153999999995
64,Algeria,Bouïra Province,36.373901200000006,3.9007007000000007
65,Algeria,Laghouat Province,33.8063518,2.8808616000000002
66,Algeria,Tébessa Province,35.4035956,8.1212322
67,Algeria,M'Sila Province,35.70875529999999,4.5371552
68,Algeria,Relizane Province,35.738119299999994,0.5547673000000001
69,Algeria,Guelma Province,36.465084000000004,7.4306470000000004
70,Algeria,Béchar Province,31.616535499999998,-2.2180053
71,Algeria,El Taref Province,35.6476666,5.4598195
72,Algeria,Mila Province,36.451941,6.262331
73,Algeria,Souk Ahras Province,36.284832,7.9515466
74,Algeria,Saïda Province,34.841640500000004,0.1509912
75,Algeria,El Bayadh Province,33.63785225,1.0122039112504564
76,Algeria,Illizi Province,26.4880835,8.357149150673568
77,Algeria,Naâma Province,33.2647342,-0.3110393
78,Algeria,Tamanrasset Province,22.7854543,5.5324465
79,Argentina,Buenos Aires Province,-35.145801399999996,-62.7306676
80,Argentina,Buenos Aires,-34.6075682,-58.4370894
81,Argentina,Chaco Province,-25.3042318,-57.6149682
82,Argentina,Cordoba,-31.4173391,-64.183319
83,Argentina,Santa Fe Province,-32.92920765,-60.818794351479255
84,Argentina,Río Negro,-40.4811973,-67.6145911
85,Argentina,Tierra del Fuego Province,-54.4071064,-67.8974895
86,Argentina,Neuquen,-38.369505700000005,-69.832275
87,Argentina,Mendoza Province,-35.145801399999996,-62.7306676
88,Argentina,La Rioja Province,-32.878750800000006,-68.835015
89,Argentina,Santa Cruz Province,-48.569332700000004,-70.1606767
90,Argentina,Corrientes,-28.5912315,-57.939465799999994
91,Argentina,Tucumán,-26.5643582,-64.882397
92,Argentina,Entre Rios,-31.6252842,-59.353957799999996
93,Argentina,Santiago del Estero Province,-34.7092989,-58.4090002
94,Argentina,San Luis Province,-25.2208616,-57.518976
95,Argentina,Jujuy,-23.3161458,-65.7595288
96,Argentina,La Pampa,-37.2314643,-65.3972948
97,Argentina,Misiones Province,-51.6296805,-69.2067251
98,Argentina,Salta Province,-32.896044800000006,-68.8348455
99,Argentina,Chubut Province,-44.990264200000006,-70.81717306137952
100,Argentina,San Juan Province,-25.4656076,-54.68059153754289
101,Armenia,Yerevan,40.177612100000005,44.5125849
102,Armenia,Ararat Province,39.9530516,44.801806075
103,Armenia,Kotayk Province,40.280317499999995,44.654579299999995
104,Armenia,Armavir Province,40.1158531,43.936541399999996
105,Armenia,Syunik Province,39.35086995,46.155037887649314
106,Armenia,Shirak Province,40.81400525,43.87987291777994
107,Armenia,Lori Province,40.9589685,44.546297582569274
108,Armenia,Aragatsotn Province,40.479544,44.29490030548395
109,Armenia,Gegharkunik Province,40.30526105,45.41001320000001
110,Armenia,Tavush Province,40.97285215,45.15347536249365
111,Armenia,Vayots Dzor Province,39.75381845,45.4236282167009
112,Australia,New South Wales,-31.875983500000004,147.2869493
113,Australia,Victoria,-36.5986096,144.6780052
114,Australia,Queensland,-22.1646782,144.58449030000003
115,Australia,Western Australia,-25.230300500000002,121.0187246
116,Australia,South Australia,-30.534366499999997,135.6301212
117,Australia,Tasmania,-42.14220555,146.67235178784668
118,Australia,Australian Capital Territory,-35.488350200000006,149.00269419999998
119,Australia,Northern Territory,-19.851610100000002,133.2303375
120,Austria,Tyrol,47.223193,11.5261028
121,Austria,Lower Austria,48.2817813,15.763245699999999
122,Austria,Upper Austria,48.25,14.0
123,Austria,Vienna,48.2083537,16.372504199999998
124,Austria,Styria,47.2500001,15.166666500000002
125,Austria,Salzburg,47.798134600000004,13.046480599999999
126,Austria,Vorarlberg,47.25,9.916666699999999
127,Austria,Carinthia,46.7500001,13.833333300000001
128,Austria,Burgenland,47.5000001,16.4166666
129,Belgium,Flanders,51.0962462,4.1798512892601565
130,Belgium,Wallonia,50.1545331,5.3991821671645575
131,Belgium,Brussels,50.8465573,4.351697
132,Bolivia,Santa Cruz Department,-17.333333,-61.5
133,Bolivia,La Paz Department,-18.0226485,-70.25354370000001
134,Bolivia,Cochabamba Department,-18.0226485,-70.25354370000001
135,Bolivia,Oruro Department,-22.0889644,-65.59196452500437
136,Bolivia,Potosi Department,-20.666667,-66.666667
137,Bolivia,Pando Department,-11.183333,-67.18333299999999
138,Bolivia,Tarija Department,-11.3760022,-67.288238
139,Bolivia,Beni Department,-19.024982,-65.703455
140,Bolivia,Chuquisaca Department,-64.416667,-20.0
141,Brazil,State of São Paulo,-23.5506507,-46.633382399999995
142,Brazil,State of Rio de Janeiro,-22.911013699999998,-43.2093727
143,Brazil,State of Ceará,-5.3264703,-39.715607299999995
144,Brazil,State of Pernambuco,-8.4116316,-37.591969899999995
145,Brazil,State of Amazonas,-4.479925,-63.518539600000004
146,Brazil,State of Bahia,-12.285250999999999,-41.9294776
147,Brazil,State of Maranhão,-5.2085503,-45.3930262
148,Brazil,State of Espírito Santo,-19.5687682,-40.1721991
149,Brazil,State of Minas Gerais,-18.526484399999998,-44.158865399999996
150,Brazil,State of Pará,-4.7493932999999995,-52.89730060000001
151,Brazil,State of Santa Catarina,-27.0628367,-51.114965000000005
152,Brazil,State of Paraná,-24.4842187,-51.8148872
153,Brazil,State of Rio Grande do Sul,-29.8425284,-53.76805770000001
154,Brazil,Federal District,-15.7754462,-47.7970891
155,Brazil,State of Rio Grande do Norte,-5.6781175,-36.4781776
156,Brazil,State of Amapá,1.3545441999999999,-51.9161977
157,Brazil,State of Goiás,-15.932366199999999,-50.13929279999999
158,Brazil,State of Paraíba,-7.1219366,-36.724684499999995
159,Brazil,State of Alagoas,-9.661166099999999,-36.650242600000006
160,Brazil,State of Roraima,2.135138,-61.3631922
161,Brazil,State of Rondônia,-10.943145,-62.8277863
162,Brazil,State of Acre,-9.0478679,-70.52649759999998
163,Brazil,State of Mato Grosso,-12.2115009,-55.5716547
164,Brazil,State of Piauí,-7.699278200000001,-42.504378700000004
165,Brazil,State of Mato Grosso do Sul,-19.5852564,-54.4794731
166,Brazil,State of Sergipe,-10.6743911,-37.377351899999994
167,Brazil,State of Tocantins,-10.8855129,-48.3716912
168,Cambodia,Sihanoukville,10.5045515,103.25784114285527
169,Cambodia,Phnom Penh,11.568271000000001,104.9224426
170,Cambodia,Kampong Cham Province,11.9921855,105.4628346
171,Cambodia,Battambang Province,13.0998526,103.19666590000001
172,Cambodia,Siem Reap Province,13.355487,103.8608382
173,Cambodia,Banteay Meanchey Province,13.589396100000002,102.9723093
174,Cambodia,Kep Province,10.4827998,104.3113349
175,Cambodia,Tbong Khmum Province,11.8914565,105.7756828
176,Cambodia,Kampong Chhnang Province,12.2536026,104.66583890000001
177,Cambodia,Kampot Province,10.6183061,104.1797339
178,Cambodia,Kandal Province,10.9986692,106.1691459
179,Cambodia,Koh Kong Province,11.456030199999999,103.122046
180,Cambodia,Preah Vihear Province,13.65115365,105.25819111658414
181,Canada,Quebec,52.4760892,-71.8258668
182,Canada,Ontario,50.000678,-86.000977
183,Canada,Alberta,55.001251,-115.00213600000001
184,Canada,British Columbia,55.001251,-125.00244099999999
185,Canada,Nova Scotia,45.1960403,-63.1653789
186,Canada,Saskatchewan,55.5321257,-106.1412243
187,Canada,Manitoba,55.001251,-97.001038
188,Canada,Newfoundland and Labrador,53.821732700000005,-61.2295532
189,Canada,New Brunswick,46.500283,-66.75018299999999
190,Canada,Prince Edward Island,46.50354535,-63.59551713991449
191,Canada,Yukon,63.000147,-136.002502
192,Canada,Northwest Territories,65.00000039999999,-118.0
193,Canada,Nunavut,70.0000073,-90.0
194,Chile,Santiago Metropolitan Region,-33.5739341,-70.62055179999999
195,Chile,Araucania,-38.67101160000001,-72.25645759999999
196,Chile,Ñuble,-36.633157700000005,-71.9384821
197,Chile,Bio Bio,-37.3391407,-72.4106825
198,Chile,Magallanes and Chilean Antarctica,-53.35275179999999,-71.5547782
199,Chile,Los Lagos,-42.300844,-73.105387
200,Chile,Valparaíso,-33.0458456,-71.6196749
201,Chile,Antofagasta,-23.6041314,-69.0842783
202,Chile,Maule,-35.5972284,-71.48868
203,Chile,Arica y Parinacota,-18.5918514,-69.75860829999999
204,Chile,Los Ríos,-39.9742911,-72.667478
205,Chile,Tarapacá,-20.1636672,-69.5463448
206,Chile,O'Higgins,-48.47302585,-72.84749314466745
207,Chile,Coquimbo,-30.7546652,-70.9005536
208,Chile,Atacama,-27.5571783,-70.0156882
209,Chile,Aysén,-46.143462899999996,-74.36488694169806
210,China,Hubei,31.15172525,112.87832224656044
211,China,Guangdong Province,24.7443043,113.08144820000001
212,China,Henan,34.0000001,113.9999999
213,China,Zhejiang,29.000000099999998,119.9999999
214,China,Hunan,27.999587800000004,112.00953799999999
215,China,Anhui,32.0,117.0
216,China,Jiangxi,28.0,116.0
217,China,Shandong,36.0000001,118.9999999
218,China,Jiangsu,33.0000001,119.9999999
219,China,Beijing,39.906217,116.3912757
220,China,Chongqing,29.5585712,106.5492822
221,China,Sichuan,30.500000099999998,102.4999999
222,China,Shanghai,31.232275800000004,121.4692071
223,China,Heilongjiang,48.000004700000005,127.99999199999999
224,China,Fujian,26.5450001,117.84277800000001
225,China,Hebei,39.0000001,116.0
226,China,Shaanxi,36.0,109.0
227,China,Guangxi,24.0,109.0
228,China,Yunnan,25.0,102.0
229,China,Tianjin,39.1235635,117.1980785
230,China,Hainan,19.2000001,109.5999999
231,China,Guizhou,27.0,107.0
232,China,Liaoning,40.997519700000005,122.99554690000001
233,China,Gansu,38.0000001,101.9999999
234,China,Shanxi,37.0,112.0
235,China,Inner Mongolia,43.2443242,114.32516640000001
236,China,Jilin,42.9995032,125.9816054
237,China,Xinjiang,41.7574769,87.16738423046895
238,China,Ningxia,37.0000001,105.9999999
239,China,Qinghai,35.40709525,95.95211573241954
240,China,Tibet,31.89434315,87.07813712706509
241,Croatia,City of Zagreb,45.79151065,15.98246722398631
242,Croatia,Split-Dalmatia County,43.07361015,16.027989049469006
243,Croatia,Krapina-Zagorje County,46.0983218,15.937740400000001
244,Croatia,Zagreb County,45.7017634,16.2347136
245,Croatia,Osijek-Baranja County,45.541111,18.4384615
246,Croatia,Dubrovnik-Neretva County,42.758084499999995,17.3352326
247,Croatia,Istria County,45.2098898,13.6822959
248,Croatia,Primorje-Gorski Kotar County,45.4225937,14.6172032
249,Croatia,Zadar County,44.223288200000006,15.3739652
250,Croatia,Šibenik-Knin County,43.8410419,16.022628
251,Croatia,Koprivnica-Križevci County,46.12020575,16.779842997977994
252,Croatia,Varaždin County,46.2572752,16.2900851
253,Croatia,Vukovar-Srijem County,45.228340700000004,18.8590442
254,Croatia,Sisak-Moslavina County,45.3330101,16.49187075036225
255,Croatia,Karlovac County,45.2826564,15.4190997
256,Croatia,Brod-Posavina County,45.2444285,17.9232927
257,Croatia,Lika-Senj County,44.668256299999996,15.322577599999999
258,Croatia,Bjelovar-Bilogora County,45.746214200000004,16.9212335
259,Croatia,Virovitica-Podravina County,45.7732751,17.5789161
260,Croatia,Međimurje County,46.4232963,16.4661353
261,Croatia,Požega-Slavonia County,45.438115100000005,17.5133687
262,Dominican Republic,Distrito Nacional,18.48525785,-69.92990811529472
263,Dominican Republic,Santo Domingo Province,18.4801972,-69.942111
264,Dominican Republic,Santiago Province,19.4503932,-70.6909047
265,Dominican Republic,Duarte Province,19.796121799999998,-70.69147609999999
266,Dominican Republic,La Vega Province,19.2237411,-70.5284071
267,Dominican Republic,La Altagracia,18.5823788,-68.6587525
268,Dominican Republic,Puerto Plata Province,19.7893977,-70.6940515
269,Dominican Republic,San Pedro de Macorís Province,18.4601161,-69.3027395
270,Dominican Republic,Espaillat Province,18.4234077,-68.970927
271,Dominican Republic,La Romana Province,18.4272786,-68.9734597
272,Dominican Republic,Monseñor Nouel,18.8820257,-70.418098
273,Dominican Republic,Hermanas Mirabal Province,18.502478200000002,-69.82829140000001
274,Dominican Republic,Samaná Province,19.2055052,-69.3362252
275,Dominican Republic,San Cristóbal Province,18.417453100000003,-70.11033459999999
276,Dominican Republic,Sánchez Ramírez Province,-70.1448351,19.0176147
277,Dominican Republic,Azua Province,18.453259399999997,-70.73240109999999
278,Dominican Republic,María Trinidad Sánchez Province,18.431132100000003,-69.0239872
279,Dominican Republic,San Juan Province,18.477579199999997,-69.9766214
280,Dominican Republic,Barahona Province,18.2101889,-71.1012325
281,Dominican Republic,Hato Mayor Province,18.763250199999998,-69.2571917
282,Dominican Republic,Santiago Rodríguez Province,18.4745773,-69.8884978
283,Dominican Republic,Valverde Province,18.4861819,-69.89126170000002
284,Dominican Republic,Independencia Province,19.4530693,-70.7008841
285,Dominican Republic,Monte Cristi Province,19.848379,-71.64566529999999
286,Dominican Republic,Monte Plata Province,18.8100643,-69.78753540000001
287,Dominican Republic,Peravia Province,18.4927899,-69.993166
288,Dominican Republic,Baoruco Province,18.0766275,-71.0952214
289,Dominican Republic,Dajabón Province,19.550137600000003,-71.7039072
290,Dominican Republic,El Seibo Province,18.7639305,-69.03729229999999
291,Dominican Republic,Elías Piña Province,-71.69594790000001,18.995254199999998
292,Dominican Republic,Pedernales Province,18.0431598,-71.7432093
293,Dominican Republic,San José de Ocoa Province,18.546405,-70.50567029999999
294,Ecuador,Guayas,-2.0,-80.0
295,Ecuador,Pichincha,-0.0584893,-78.32843709999999
296,Ecuador,Los Ríos Province,-1.5586569,-79.7542606
297,Ecuador,Manabí Province,-0.4,-80.3
298,Ecuador,El Oro,-3.5311093000000002,-79.83332340000001
299,Ecuador,Azuay,-3.0524451,-79.2395135
300,Ecuador,Santa Elena Province,-2.088082,-80.51908093389802
301,Ecuador,Cañar Province,-2.4,-79.2
302,Ecuador,Loja,-4.0528506,-79.80534250000001
303,Ecuador,Chimborazo Province,-1.7511331,-78.633333
304,Ecuador,Esmeraldas Province,1.058611,-78.968056
305,Ecuador,Santo Domingo de los Tsáchilas Province,-0.2558522,-79.18443772696759
306,Ecuador,Tungurahua,-1.2765895,-78.4754667
307,Ecuador,Bolívar Province,-5.7559052,-78.4545442
308,Ecuador,Cotopaxi Province,-1.083333,-78.833333
309,Ecuador,Galápagos Islands,-0.62881505,-90.36387520223239
310,Ecuador,Imbabura Province,0.75,-78.416667
311,Ecuador,Carchi Province,0.933333,-78.5
312,Ecuador,Sucumbíos Province,0.166389,-76.711667
313,Ecuador,Morona-Santiago Province,-2.666667,-77.85
314,Ecuador,Zamora-Chinchipe Province,-4.184707100000001,-78.9364356
315,Ecuador,Pastaza Province,-1.47033055,-76.89132397657048
316,Ecuador,Orellana Province,-2.18254285,-79.8950218287101
317,Ecuador,Provincia de Napo,-1.8557374,-79.980994
318,Finland,Uusimaa,60.2246684,25.12726308225769
319,Finland,Southwest Finland,60.3059485,22.41442603089336
320,Finland,Pirkanmaa,61.7171466,23.71571339560399
321,Finland,Northern Savonia,27.530394841137646,63.0883598
322,Finland,Northern Ostrobothnia,65.01776105,25.475309266121503
323,Finland,Central Finland,62.53101395,25.50568325133171
324,Finland,Lapland,26.728204479201413,67.69291045
325,Finland,Tavastia Proper,24.153192009582575,60.93769605
326,Finland,Päijänne Tavastia,61.144425899999995,25.687187045973182
327,Finland,Kainuu,64.59873065,28.300198845857643
328,Finland,Satakunta,61.59201665000001,21.779944486727157
329,Finland,Ostrobothnia,62.96867215,21.36251426194388
330,Finland,Southern Savonia,27.98820443747439,61.90173715
331,Finland,Southern Ostrobothnia,24.50803078031766,60.66970185
332,Finland,Kymenlaakso,60.7318529,27.082883965665253
333,Finland,North Karelia,62.801408499999994,30.213455302117616
334,Finland,South Karelia,61.26671405,28.405512513307876
335,Finland,Central Ostrobothnia,63.6476557,24.111411271292845
336,Germany,Bavaria,48.9467562,11.4038717
337,Germany,North Rhine-Westphalia,51.478179600000004,7.5542336
338,Germany,Baden-Württemberg,48.6296972,9.1949534
339,Germany,Lower Saxony,52.8398531,9.075961999999999
340,Germany,Hesse,50.611853700000005,9.1909725
